,state,district,repcandidate,demcandidate,rep_score,rep_incumbent,dem_incumbent,state_fips,minority_percentage,pres_approval,same_as_pres_party_rep,same_as_pres_party_dem,log_med_income,year,dem_percent,dem_is_female,rep_is_female,rep_primary_percent,dem_primary_percent,labor_force
8784,North Carolina,4,"Hawke, Jim","Andrews, Ike F.",0.4962,False,False,37,,,,,,1972,,,,,,
8785,North Carolina,2,"Little, Erick P.","Fountain, L. H.",0.2838,False,True,37,,,,,,1972,,,,,,
8786,North Carolina,1,"Bonner, J. Jordan","Jones, Walter B. Sr.",0.31170000000000003,False,True,37,,,,,,1972,,,,,,
8787,Wyoming,0,"Kidd, William","Roncalio, Teno",0.483,False,True,56,,,,,,1972,,,,,,
8788,Montana,1,"Shoup, Richard G.","Olsen, Arnold",0.5374,True,False,30,,,,,,1972,,,,,,
8789,New York,24,"Vergari, Carl A.","Reid, Ogden R.",0.4779,False,True,36,,,,,,1972,,,,,,
8790,New York,23,"Peyser, Peter A.","Ottinger, Richard L.",0.5035000000000001,True,False,36,,,,,,1972,,,,,,
8791,New York,22,"Avarello, Charles A.","Bingham, Jonathan",0.2352,False,True,36,,,,,,1972,,,,,,
8792,New York,21,"Ramos, Manuel A.","Badillo, Herman",0.1162,False,True,36,,,,,,1972,,,,,,
8793,Iowa,6,"Mayne, Wiley","Bedell, Berkley",0.5246999999999999,False,False,19,,,,,,1972,,,,,,
8794,Iowa,5,"Scherle, William J.","Harkin, Tom",0.5526,True,False,19,,,,,,1972,,,,,,
8795,Iowa,4,"Kyl, John","Smith, Neal",0.4044,True,True,19,,,,,,1972,,,,,,
8796,Iowa,3,"Gross, H. R.","Taylor, Lyle D.",0.5568,True,False,19,,,,,,1972,,,,,,
8797,Washington,5,"Privette, Clarice","Foley, Thomas S.",0.1875,False,True,53,,,,,,1972,,,,,,
8798,Washington,4,"Bledsoe, Stewart","McCormack, Mike",0.4792,False,True,53,,,,,,1972,,,,,,
8799,Washington,3,"McConkey, R. C.","Hansen, Julia Butler",0.3373,False,True,53,,,,,,1972,,,,,,
8800,Ohio,9,"Richards, Joseph C.","Ashley, Thomas William Ludlow",0.309,False,True,39,,,,,,1972,,,,,,
8801,Ohio,16,"Regula, Ralph S.","Musser, Virgil L.",0.5733,False,False,39,,,,,,1972,,,,,,
8802,Ohio,15,"Wylie, Chalmers P.","McGee, Manley L.",0.6767,True,False,39,,,,,,1972,,,,,,
8803,Ohio,14,"Holt, Norman W.","Seiberling, John F.",0.2561,False,True,39,,,,,,1972,,,,,,
8804,Kentucky,5,"Carter, Tim Lee","Willis, Lyle Leonard",0.7354999999999999,True,False,21,,,,,,1972,,,,,,
8805,Kentucky,4,"Snyder, M. G.","Rogers, James W.",0.7382,True,False,21,,,,,,1972,,,,,,
8806,Kentucky,3,"Kaelin, Phil","Mazzoli, Romano L.",0.373,False,True,21,,,,,,1972,,,,,,
8807,Kentucky,2,"Carter, J. C.","Natcher, William H.",0.3847,False,True,21,,,,,,1972,,,,,,
8808,Kentucky,1,"Banken, Charles T.","Stubblefield, Frank A.",0.3417,False,True,21,,,,,,1972,,,,,,
8809,Ohio,13,"Mosher, Charles A.","Ryan, John M.",0.6815000000000001,True,False,39,,,,,,1972,,,,,,
8810,Ohio,12,"Devine, Samuel L.","Goodrich, James W.",0.5611,True,False,39,,,,,,1972,,,,,,
8811,Ohio,11,"Stanton, J. William","Callahan, Dennis M.",0.6817,True,False,39,,,,,,1972,,,,,,
8812,Ohio,10,"Miller, Clarence E.","Whealey, Robert H.",0.7321,True,False,39,,,,,,1972,,,,,,
8813,Ohio,8,"Powell, Walter E.","Ruppert, James D.",0.5219,False,False,39,,,,,,1972,,,,,,
8814,Washington,2,"Reams, Bill","Meeds, Lloyd",0.39549999999999996,False,True,53,,,,,,1972,,,,,,
