state,district,mu
Florida,15,0.48613501079422644
Florida,13,0.3830591603346927
Florida,12,0.6159778189755422
Florida,11,0.5902654086044313
Florida,1,0.5893838580331215
Georgia,9,0.6840137100208439
Georgia,7,0.5216254784117623
Georgia,6,0.527378909178402
Georgia,4,0.2570204173290994
Georgia,3,0.6082866351721995
Georgia,2,0.3359399180391022
Georgia,14,0.6792469949755953
Georgia,13,0.2838783495185059
Georgia,12,0.5651658785917433
Georgia,11,0.6292263647100597
Georgia,10,0.5935503741257451
Georgia,1,0.5875307179143022
Hawaii,2,0.2837298652384891
Hawaii,1,0.2502644477729618
Iowa,4,0.5476850461365163
Iowa,3,0.4908283359276262
Iowa,2,0.43754441976721054
Iowa,1,0.5125055328771715
Idaho,2,0.6299080017003617
Idaho,1,0.6149846026759506
Illinois,9,0.34301770904709433
Illinois,8,0.2917293115964754
Illinois,7,0.11366175027609138
Illinois,6,0.4867211583176598
Illinois,5,0.3751537319072923
Illinois,4,0.4024215061073707
Illinois,3,0.4491275171106903
Illinois,2,0.23445297716377025
Illinois,18,0.6007678059460676
Illinois,17,0.38140027592382403
Illinois,16,0.5578808288596434
Illinois,15,0.6009134022336295
Illinois,14,0.502163345627733
Illinois,13,0.5161419755817923
Illinois,12,0.5310612421291914
Illinois,11,0.3060739499122515
Illinois,10,0.34384024892738546
Illinois,1,0.23056614436506667
Indiana,9,0.563781651763157
Indiana,8,0.5726297536339445
Indiana,7,0.3446637377513972
Indiana,6,0.6219629682736015
Indiana,5,0.568926022834235
Indiana,4,0.5514927803634642
Indiana,3,0.6003206767644722
Indiana,2,0.579693934753503
Indiana,1,0.45410211962010644
Kansas,4,0.5763813971958534
Kansas,3,0.48618463600404876
Kansas,2,0.5321007797472475
Kansas,1,0.5915775082248724
Kentucky,6,0.5888319184332285
Kentucky,5,0.6274853810327848
Kentucky,4,0.6392089976477399
Kentucky,3,0.40285985197153124
Kentucky,2,0.6133014940156933
Kentucky,1,0.6303264860073172
Louisiana,6,0.6683290741202944
Louisiana,5,0.6349551007761373
Louisiana,4,0.6352700296130442
Louisiana,3,0.7388170572786588
Louisiana,1,0.701897110338073
Massachusetts,9,0.41787643798894536
Massachusetts,6,0.3783183599977652
Massachusetts,5,0.24371672219702342
Massachusetts,3,0.422074749593554
Massachusetts,2,0.3952801621492193
Maryland,8,0.3380759578235675
Maryland,7,0.1940718333748413
Maryland,6,0.42790390082252805
Maryland,5,0.28158818778083655
Maryland,4,0.17578895558130395
Maryland,3,0.323093269915485
Maryland,2,0.3542339259773887
Maryland,1,0.573939362646771
Maine,2,0.5091381871134266
Maine,1,0.3828552085799389
Michigan,9,0.47068961471155424
Michigan,8,0.4991445544892884
Michigan,7,0.5617870848014088
Michigan,6,0.5166006329890261
Michigan,5,0.41461165369072894
Michigan,4,0.6410395126242207
Michigan,3,0.5515372513706897
Michigan,2,0.5619624909262988
Michigan,14,0.18549445932261432
Michigan,12,0.39735340125127994
Michigan,11,0.4882525936580148
Michigan,10,0.6469957003275362
Michigan,1,0.5783148888924261
Minnesota,8,0.5305975558923356
Minnesota,7,0.4413460784651284
Minnesota,6,0.5634083507086682
Minnesota,5,0.4110288232697848
Minnesota,4,0.317797988155727
Minnesota,3,0.4717246381377391
Minnesota,2,0.5033648050658494
Minnesota,1,0.547192721608245
Missouri,8,0.662990325968268
Missouri,7,0.6271663311332947
Missouri,6,0.6417671146522732
Missouri,5,0.3682021751419702
Missouri,4,0.6019065599498006
Missouri,3,0.6473600784241829
Missouri,2,0.5995249491505764
Missouri,1,0.2421223990746098
Mississippi,4,0.6267166014487676
Mississippi,3,0.5724738118028918
Mississippi,1,0.6272193724740855
