district,year,full_name,ranks
NORTH CAROLINA 9,2010,Sue Wilkins Myrick,500
NORTH CAROLINA 9,2010,Jeff Doctor,192
NORTH CAROLINA 10,2010,Patrick T. McHenry,37
NORTH CAROLINA 10,2010,Jeff Gregory,192
NORTH CAROLINA 11,2010,Jeff Miller,192
NORTH CAROLINA 11,2010,Heath Shuler,500
NORTH CAROLINA 12,2010,Greg Dority,29
NORTH CAROLINA 12,2010,Melvin L. Watt,187
NORTH CAROLINA 13,2010,William ‘‘Bill’’ Randall,9
NORTH CAROLINA 13,2010,Brad Miller,123
NORTH DAKOTA 1,2010,Rick Berg,16
NORTH DAKOTA 1,2010,Earl Pomeroy,500
OHIO 1,2010,Steve Chabot,159
OHIO 1,2010,Steve Driehaus,159
OHIO 2,2010,Jean Schmidt,500
OHIO 2,2010,Surya Yalamanchili,500
OHIO 3,2010,Michael R. Turner,1
OHIO 3,2010,Joe Roberts,107
OHIO 4,2010,Jim Jordan,5
OHIO 4,2010,Doug Litt,50
OHIO 5,2010,Robert E. Latta,7
OHIO 5,2010,Caleb Finkenbiner,500
OHIO 6,2010,Bill Johnson,9
OHIO 6,2010,Charles A. Wilson,23
OHIO 7,2010,Steve Austria,159
OHIO 7,2010,Bill Conner,9
OHIO 8,2010,John A. Boehner,6
OHIO 8,2010,Justin A. Coussoule,38
OHIO 9,2010,Rich Iott,500
OHIO 9,2010,Marcy Kaptur,500
OHIO 10,2010,Peter J. Corrigan,55
OHIO 10,2010,Dennis J. Kucinich,59
OHIO 11,2010,Thomas Pekarek,20
OHIO 11,2010,Marcia L. Fudge,500
OHIO 12,2010,Patrick J. Tiberi,37
OHIO 12,2010,Paula Brooks,98
OHIO 13,2010,Tom Ganley,20
OHIO 13,2010,Betty Sutton,500
OHIO 14,2010,Steven C. LaTourette,19
OHIO 14,2010,Bill O’Neill,9
OHIO 15,2010,Steve Stivers,159
OHIO 15,2010,Mary Jo Kilroy,15
OHIO 16,2010,Jim Renacci,5
OHIO 16,2010,John A. Boccieri,6
OHIO 17,2010,Jim Graham,5
OHIO 17,2010,Tim Ryan,21
OHIO 18,2010,Bob Gibbs,7
OHIO 18,2010,Zachary T. Space,141
OKLAHOMA 1,2010,John Sullivan,6
OKLAHOMA 2,2010,Charles Thompson,23
OKLAHOMA 2,2010,Dan Boren,12
OKLAHOMA 3,2010,Frank D. Lucas,65
OKLAHOMA 3,2010,Frankie Robbins,65
OKLAHOMA 4,2010,Tom Cole,20
OKLAHOMA 5,2010,James Lankford,5
OKLAHOMA 5,2010,Billy Coyle,84
OREGON 1,2010,Rob Cornilles,7
OREGON 1,2010,David Wu,4
OREGON 2,2010,Greg Walden,29
OREGON 2,2010,Joyce B. Segers,500
OREGON 3,2010,Delia Lopez,500
OREGON 3,2010,Earl Blumenauer,500
OREGON 4,2010,Art Robinson,500
OREGON 4,2010,Peter A. DeFazio,55
OREGON 5,2010,Scott Bruun,17
OREGON 5,2010,Kurt Schrader,180
PENNSYLVANIA 1,2010,Robert A. Brady,7
PENNSYLVANIA 2,2010,Rick Hellberg,16
PENNSYLVANIA 2,2010,Chaka Fattah,500
PENNSYLVANIA 3,2010,Mike Kelly,1
PENNSYLVANIA 3,2010,Kathleen A. Dahlkemper,69
PENNSYLVANIA 4,2010,Keith Rothfus,45
PENNSYLVANIA 4,2010,Jason Altmire,3
PENNSYLVANIA 5,2010,Glenn Thompson,157
PENNSYLVANIA 5,2010,Michael Pipe,1
PENNSYLVANIA 6,2010,Jim Gerlach,5
PENNSYLVANIA 6,2010,Manan Trivedi,500
PENNSYLVANIA 7,2010,Patrick Meehan,37
PENNSYLVANIA 7,2010,Bryan Lentz,46
PENNSYLVANIA 8,2010,Michael G. Fitzpatrick,1
PENNSYLVANIA 8,2010,Patrick J. Murphy,37
PENNSYLVANIA 9,2010,Bill Shuster,9
PENNSYLVANIA 9,2010,Tom Conners,20
PENNSYLVANIA 10,2010,Thomas A. Marino,20
PENNSYLVANIA 10,2010,Christopher P. Carney,2
PENNSYLVANIA 11,2010,Louis J. Barletta,136
PENNSYLVANIA 11,2010,Paul E. Kanjorski,27
PENNSYLVANIA 12,2010,Tim Burns,21
PENNSYLVANIA 12,2010,Mark S. Critz,18
PENNSYLVANIA 13,2010,Carson Dee Adcock,500
PENNSYLVANIA 13,2010,Allyson Y. Schwartz,500
PENNSYLVANIA 14,2010,Melissa Haluszczak,3
PENNSYLVANIA 14,2010,Michael F. Doyle,1
PENNSYLVANIA 15,2010,Charles W. Dent,23
PENNSYLVANIA 15,2010,John B. Callahan,6
PENNSYLVANIA 16,2010,Joseph R. Pitts,11
PENNSYLVANIA 16,2010,Lois Herr,500
PENNSYLVANIA 17,2010,Dave Argall,4
PENNSYLVANIA 17,2010,Tim Holden,21
PENNSYLVANIA 18,2010,Tim Murphy,21
PENNSYLVANIA 18,2010,Dan Connolly,12
PENNSYLVANIA 19,2010,Todd Russell Platts,41
PENNSYLVANIA 19,2010,Ryan S. Sanders,25
RHODE ISLAND 1,2010,John J. Loughlin II,6
RHODE ISLAND 1,2010,David N. Cicilline,4
RHODE ISLAND 2,2010,Mark S. Zaccaria,18
RHODE ISLAND 2,2010,James R. Langevin,5
SOUTH CAROLINA 1,2010,Tim Scott,21
SOUTH CAROLINA 1,2010,Ben Frasier,44
SOUTH CAROLINA 2,2010,Joe Wilson,107
SOUTH CAROLINA 2,2010,Rob Miller,7
SOUTH CAROLINA 3,2010,Jeff Duncan,192
SOUTH CAROLINA 3,2010,Jane Ballard Dyer,500
SOUTH CAROLINA 4,2010,Trey Gowdy,500
SOUTH CAROLINA 4,2010,Paul Corden,27
SOUTH CAROLINA 5,2010,Mick Mulvaney,500
SOUTH CAROLINA 5,2010,"John M. Spratt, Jr.",6
SOUTH CAROLINA 6,2010,Jim Pratt,5
SOUTH CAROLINA 6,2010,James E. Clyburn,5
SOUTH DAKOTA 1,2010,Kristi Noem,108
SOUTH DAKOTA 1,2010,Stephanie Herseth Sandlin,9
TENNESSEE 1,2010,David P. Roe,4
TENNESSEE 1,2010,Michael Edward Clark,1
TENNESSEE 2,2010,"John J. Duncan, Jr.",6
TENNESSEE 2,2010,Dave Hancock,4
TENNESSEE 3,2010,Chuck Fleischmann,23
TENNESSEE 3,2010,John Wolfe,6
TENNESSEE 4,2010,Scott DesJarlais,17
TENNESSEE 4,2010,Lincoln Davis,500
TENNESSEE 5,2010,David Hall,4
TENNESSEE 5,2010,Jim Cooper,5
TENNESSEE 6,2010,Diane Black,123
TENNESSEE 6,2010,Brett Carter,94
TENNESSEE 7,2010,Marsha Blackburn,500
TENNESSEE 7,2010,Greg Rabidoux,29
TENNESSEE 8,2010,Stephen Lee Fincher,33
TENNESSEE 8,2010,Roy Herron,125
TENNESSEE 9,2010,Charlotte Bergmann,500
TENNESSEE 9,2010,Steve Cohen,159
TEXAS 1,2010,Louie Gohmert,500
TEXAS 2,2010,Ted Poe,181
TEXAS 3,2010,Sam Johnson,64
TEXAS 3,2010,John Lingenfelder,6
TEXAS 4,2010,Ralph M. Hall,171
TEXAS 4,2010,VaLinda Hathcox,500
TEXAS 5,2010,Jeb Hensarling,500
TEXAS 5,2010,Tom Berry,20
TEXAS 6,2010,Joe Barton,107
TEXAS 6,2010,David E. Cozad,4
TEXAS 7,2010,John Abney Culberson,6
TEXAS 8,2010,Kevin Brady,13
TEXAS 8,2010,Kent Hargett,500
TEXAS 9,2010,Steve Mueller,159
TEXAS 9,2010,Al Green,126
TEXAS 10,2010,Michael T. McCaul,1
TEXAS 10,2010,Ted Ankrum,181
TEXAS 11,2010,K. Michael Conaway,500
TEXAS 11,2010,James Quillian,5
TEXAS 12,2010,Kay Granger,500
TEXAS 12,2010,Tracey Smith,111
TEXAS 13,2010,Mac Thornberry,500
TEXAS 14,2010,Ron Paul,43
TEXAS 14,2010,Robert Pruett,7
TEXAS 15,2010,Eddie Zamora,165
TEXAS 15,2010,Rubén Hinojosa,500
TEXAS 16,2010,Tim Besco,21
TEXAS 16,2010,Silvestre Reyes,500
TEXAS 17,2010,Bill Flores,9
TEXAS 17,2010,Chet Edwards,500
TEXAS 18,2010,John Faulk,6
TEXAS 18,2010,Sheila Jackson Lee,119
TEXAS 19,2010,Randy Neugebauer,77
TEXAS 19,2010,Andy Wilson,28
TEXAS 20,2010,Clayton Trotter,500
TEXAS 20,2010,Charles A. Gonzalez,23
TEXAS 21,2010,Lamar Smith,500
TEXAS 21,2010,Lainey Melnick,500
TEXAS 22,2010,Pete Olson,55
TEXAS 22,2010,Kesha Rogers,500
TEXAS 23,2010,Francisco ‘‘Quico’’ Canseco,173
TEXAS 23,2010,Ciro D. Rodriguez,500
TEXAS 24,2010,Kenny Marchant,500
TEXAS 25,2010,Donna Campbell,64
TEXAS 25,2010,Lloyd Doggett,500
TEXAS 26,2010,Michael C. Burgess,1
TEXAS 26,2010,Neil L. Durrance,175
TEXAS 27,2010,R. Blake Farenthold,500
TEXAS 27,2010,Solomon P. Ortiz,500
TEXAS 28,2010,Bryan Underwood,46
TEXAS 28,2010,Henry Cuellar,120
TEXAS 29,2010,Roy Morales,125
TEXAS 29,2010,Gene Green,500
TEXAS 30,2010,Stephen E. Broden,33
TEXAS 30,2010,Eddie Bernice Johnson,165
TEXAS 31,2010,John R. Carter,6
TEXAS 32,2010,Pete Sessions,55
TEXAS 32,2010,Grier Raggio,500
UTAH 1,2010,Rob Bishop,7
UTAH 1,2010,Morgan E. Bowen,500
UTAH 2,2010,Morgan Philpot,500
UTAH 2,2010,Jim Matheson,5
UTAH 3,2010,Jason Chaffetz,3
UTAH 3,2010,Karen Hyer,25
VERMONT 1,2010,Paul D. Beaudry,27
VERMONT 1,2010,Peter Welch,55
VIRGINIA 1,2010,Robert J. Wittman,7
VIRGINIA 1,2010,Krystal M. Ball,500
VIRGINIA 2,2010,E. Scott Rigell,500
VIRGINIA 2,2010,Glenn C. Nye,157
VIRGINIA 3,2010,"C. L. ‘‘Chuck’’ Smith, Jr.",500
VIRGINIA 3,2010,Robert C. ‘‘Bobby’’ Scott,7
VIRGINIA 4,2010,J. Randy Forbes,500
VIRGINIA 4,2010,Wynne V. E. LeGrow,500
VIRGINIA 5,2010,Robert Hurt,7
VIRGINIA 5,2010,Thomas S. P. Perriello,20
VIRGINIA 6,2010,Bob Goodlatte,7
VIRGINIA 7,2010,Eric Cantor,14
VIRGINIA 7,2010,"Rick E. Waugh, Jr.",16
VIRGINIA 8,2010,J. Patrick Murray,500
VIRGINIA 8,2010,James P. Moran,5
VIRGINIA 9,2010,H. Morgan Griffith,500
VIRGINIA 9,2010,Rick Boucher,16
VIRGINIA 10,2010,Frank R. Wolf,65
VIRGINIA 10,2010,Jeffery R. Barnett,67
VIRGINIA 11,2010,Keith S. Fimian,45
VIRGINIA 11,2010,Gerald E. Connolly,104
WASHINGTON 1,2010,James Watkins,5
WASHINGTON 1,2010,Jay Inslee,116
WASHINGTON 2,2010,John Koster,6
WASHINGTON 2,2010,Rick Larsen,16
WASHINGTON 3,2010,Jaime Herrera,133
WASHINGTON 3,2010,Jaime Herrera,198
WASHINGTON 3,2010,Denny Heck,500
WASHINGTON 4,2010,Doc Hastings,500
WASHINGTON 4,2010,Jay Clough,116
WASHINGTON 5,2010,Cathy McMorris Rodgers,199
WASHINGTON 5,2010,Daryl Romeyn,500
WASHINGTON 6,2010,Doug Cloud,50
WASHINGTON 6,2010,Norman D. Dicks,500
WASHINGTON 7,2010,Jim McDermott,5
WASHINGTON 8,2010,David G. Reichert,4
WASHINGTON 8,2010,Suzan DelBene,500
WASHINGTON 9,2010,Richard (Dick) Muri,16
WASHINGTON 9,2010,Adam Smith,36
WEST VIRGINIA 1,2010,David B. McKinley,4
WEST VIRGINIA 1,2010,Mike Oliverio,1
WEST VIRGINIA 2,2010,Shelley Moore Capito,168
WEST VIRGINIA 2,2010,Virginia Lynch Graf,159
WEST VIRGINIA 3,2010,Elliott E. ‘‘Spike’’ Maynard,500
WEST VIRGINIA 3,2010,Nick J. Rahall II,51
WISCONSIN 1,2010,Paul Ryan,27
WISCONSIN 1,2010,John Heckenlively,6
WISCONSIN 2,2010,Chad Lee,30
WISCONSIN 2,2010,Tammy Baldwin,23
WISCONSIN 3,2010,Dan Kapanke,12
WISCONSIN 3,2010,Ron Kind,43
WISCONSIN 4,2010,Dan Sebring,12
WISCONSIN 4,2010,Gwen Moore,500
WISCONSIN 5,2010,"F. James Sensenbrenner, Jr.",500
WISCONSIN 5,2010,Todd P. Kolosso,41
WISCONSIN 6,2010,Thomas E. Petri,20
WISCONSIN 6,2010,Joseph C. Kallas,11
WISCONSIN 7,2010,Sean Duffy,39
WISCONSIN 7,2010,Julie M. Lassa,18
WISCONSIN 8,2010,Reid J. Ribble,500
WISCONSIN 8,2010,Steve Kagen,159
WYOMING 1,2010,Cynthia M. Lummis,31
WYOMING 1,2010,David Wendt,4
ALABAMA 1,2012,Jo Bonner,500
ALABAMA 2,2012,Martha Roby,161
ALABAMA 2,2012,Therese Ford,500
ALABAMA 3,2012,Mike Rogers,1
ALABAMA 3,2012,John Andrew Harris,6
ALABAMA 4,2012,Robert B. Aderholt,7
ALABAMA 4,2012,Daniel H. Boman,12
ALABAMA 5,2012,Mo Brooks,500
ALABAMA 5,2012,Charlie L. Holley,23
ALABAMA 6,2012,Spencer Bachus,500
ALABAMA 6,2012,Penny H. Bailey,500
ALABAMA 7,2012,Don Chamberlain,42
ALABAMA 7,2012,Terri A. Sewell,148
ALASKA 1,2012,Don Young,42
ALASKA 1,2012,Sharon M. Cissna,63
ARIZONA 1,2012,Jonathan Paton,32
ARIZONA 1,2012,Ann Kirkpatrick,100
ARIZONA 2,2012,Martha McSally,161
ARIZONA 2,2012,Ron Barber,43
ARIZONA 3,2012,Gabriela Saucedo Mercer,500
ARIZONA 3,2012,Raúl M. Grijalva,500
ARIZONA 4,2012,Paul A. Gosar,27
ARIZONA 4,2012,Johnnie Robinson,500
ARIZONA 5,2012,Matt Salmon,500
ARIZONA 5,2012,Spencer Morgan,500
ARIZONA 6,2012,David Schweikert,4
ARIZONA 6,2012,Matt Jette,500
ARIZONA 7,2012,Ed Pastor,40
ARIZONA 8,2012,Trent Franks,500
ARIZONA 8,2012,Gene Scharer,500
ARIZONA 9,2012,Vernon B. Parker,500
ARIZONA 9,2012,Kyrsten Sinema,500
ARIZONA 1,2012,Eric A. ‘‘Rick’’ Crawford,14
ARIZONA 1,2012,Scott Ellington,17
ARIZONA 2,2012,Tim Griffin,21
ARIZONA 2,2012,Herb Rule,500
ARIZONA 3,2012,Steve Womack,159
ARIZONA 4,2012,Tom Cotton,20
ARIZONA 4,2012,Gene Jeffress,500
CALIFORNIA 1,2012,Doug La Malfa,50
CALIFORNIA 1,2012,Jim Reed,5
CALIFORNIA 2,2012,Daniel W. Roberts,12
CALIFORNIA 2,2012,Jared Huffman,113
CALIFORNIA 3,2012,Kim Vann,141
CALIFORNIA 3,2012,John Garamendi,6
CALIFORNIA 4,2012,Tom McClintock,20
CALIFORNIA 4,2012,Jack Uppal,146
CALIFORNIA 5,2012,Randy Loftin,77
CALIFORNIA 5,2012,Mike Thompson,1
CALIFORNIA 6,2012,"Joseph McCray, Sr.",11
CALIFORNIA 6,2012,Doris O. Matsui,500
CALIFORNIA 7,2012,Daniel E. Lungren,12
CALIFORNIA 7,2012,Ami Bera,500
CALIFORNIA 8,2012,Paul Cook,27
CALIFORNIA 8,2012,Gregg Imus,500
CALIFORNIA 9,2012,Ricky Gill,128
CALIFORNIA 9,2012,Jerry McNerney,63
CALIFORNIA 10,2012,Jeff Denham,192
CALIFORNIA 10,2012,Jose Hernandez,48
CALIFORNIA 11,2012,Virginia Fuller,159
CALIFORNIA 11,2012,George Miller,53
CALIFORNIA 12,2012,John Dennis,6
CALIFORNIA 12,2012,Nancy Pelosi,78
CALIFORNIA 13,2012,Barbara Lee,76
CALIFORNIA 14,2012,Deborah ‘‘Debbie’’ Bacigalupi,61
CALIFORNIA 14,2012,Jackie Speier,500
CALIFORNIA 15,2012,Eric Swalwell,14
CALIFORNIA 15,2012,Fortney Pete Stark,500
CALIFORNIA 16,2012,Brian Daniel Whelan,8
CALIFORNIA 16,2012,Jim Costa,5
CALIFORNIA 17,2012,Evelyn Li,500
CALIFORNIA 17,2012,Michael M. Honda,1
CALIFORNIA 18,2012,Dave Chapman,4
CALIFORNIA 18,2012,Anna G. Eshoo,87
CALIFORNIA 19,2012,Robert Murray,7
CALIFORNIA 19,2012,Zoe Lofgren,500
CALIFORNIA 20,2012,Jeff Taylor,192
CALIFORNIA 20,2012,Sam Farr,64
CALIFORNIA 21,2012,David G. Valadao,4
CALIFORNIA 21,2012,John Hernandez,6
CALIFORNIA 22,2012,Devin Nunes,500
CALIFORNIA 22,2012,Otto Lee,500
CALIFORNIA 23,2012,Kevin McCarthy,13
CALIFORNIA 24,2012,Abel Maldonado,500
CALIFORNIA 24,2012,Lois Capps,500
CALIFORNIA 25,2012,Howard P. ‘‘Buck’’ McKeon,188
CALIFORNIA 25,2012,Lee C. Rogers,131
CALIFORNIA 26,2012,Tony Strickland,80
CALIFORNIA 26,2012,Julia Brownley,131
CALIFORNIA 27,2012,Jack Orswell,146
CALIFORNIA 27,2012,Judy Chu,500
CALIFORNIA 28,2012,Phil Jennerjahn,71
CALIFORNIA 28,2012,Adam B. Schiff,36
CALIFORNIA 29,2012,Tony Cardenas,80
CALIFORNIA 30,2012,Brad Sherman,123
CALIFORNIA 30,2012,Howard L. Berman,188
CALIFORNIA 31,2012,Gary G. Miller,47
CALIFORNIA 31,2012,Bob Dutton,7
CALIFORNIA 32,2012,David L. Miller,4
CALIFORNIA 32,2012,Grace F. Napolitano,500
CALIFORNIA 33,2012,Henry A. Waxman,120
CALIFORNIA 34,2012,Stephen C. Smith,33
CALIFORNIA 34,2012,Xavier Becerra,500
CALIFORNIA 35,2012,Gloria Negrete McLeod,190
CALIFORNIA 35,2012,Joe Baca,107
CALIFORNIA 36,2012,Mary Bono Mack,15
CALIFORNIA 36,2012,Raul Ruiz,500
CALIFORNIA 37,2012,Morgan Osborne,500
CALIFORNIA 37,2012,Karen Bass,25
CALIFORNIA 38,2012,Benjamin Campos,44
CALIFORNIA 38,2012,Linda T. Sánchez,68
CALIFORNIA 39,2012,Edward R. Royce,40
CALIFORNIA 39,2012,Jay Chen,116
CALIFORNIA 40,2012,Lucille Roybal-Allard,500
CALIFORNIA 40,2012,David Sanchez,4
CALIFORNIA 41,2012,John Tavaglione,6
CALIFORNIA 41,2012,Mark Takano,18
CALIFORNIA 42,2012,Ken Calvert,31
CALIFORNIA 42,2012,Michael Williamson,1
CALIFORNIA 43,2012,Maxine Waters,500
CALIFORNIA 43,2012,Bob Flores,7
CALIFORNIA 44,2012,Janice Hahn,184
CALIFORNIA 44,2012,Laura Richardson,20
CALIFORNIA 45,2012,John Campbell,6
CALIFORNIA 45,2012,Sukhee Kang,500
CALIFORNIA 46,2012,Jerry Hayden,63
CALIFORNIA 46,2012,Loretta Sanchez,500
CALIFORNIA 47,2012,Gary DeLong,47
CALIFORNIA 47,2012,Alan Lowenthal,110
CALIFORNIA 48,2012,Dana Rohrabacher,57
CALIFORNIA 48,2012,Ron Varasteh,43
CALIFORNIA 49,2012,Darrell E. Issa,137
CALIFORNIA 49,2012,Jerry Tetalman,63
CALIFORNIA 50,2012,Duncan Hunter,500
CALIFORNIA 50,2012,David B. Secor,4
CALIFORNIA 51,2012,Michael Crimmins,1
CALIFORNIA 51,2012,Juan Vargas,68
CALIFORNIA 52,2012,Brian P. Bilbray,8
CALIFORNIA 52,2012,Scott Peters,17
CALIFORNIA 53,2012,Nick Popaditch,51
CALIFORNIA 53,2012,Susan A. Davis,27
COLORADO 1,2012,Danny Stroud,95
COLORADO 1,2012,Diana DeGette,97
COLORADO 2,2012,Kevin Lundberg,13
COLORADO 2,2012,Jared Polis,113
COLORADO 3,2012,Scott R. Tipton,17
COLORADO 3,2012,Sal Pace,500
COLORADO 4,2012,Cory Gardner,99
COLORADO 4,2012,Brandon Shaffer,52
COLORADO 5,2012,Doug Lamborn,50
COLORADO 6,2012,Mike Coffman,1
COLORADO 6,2012,Joe Miklosi,107
COLORADO 7,2012,Joe Coors,107
COLORADO 7,2012,Ed Perlmutter,40
CONNECTICUT 1,2012,John Henry Decker,6
CONNECTICUT 1,2012,John B. Larson,6
CONNECTICUT 2,2012,Paul M. Formica,27
CONNECTICUT 2,2012,Joe Courtney,107
CONNECTICUT 3,2012,Wayne Winsley,112
CONNECTICUT 3,2012,Rosa L. DeLauro,500
CONNECTICUT 4,2012,Steve Obsitnik,159
CONNECTICUT 4,2012,James A. Himes,5
CONNECTICUT 5,2012,Andrew Roraback,28
CONNECTICUT 5,2012,Elizabeth Esty,12
DELAWARE 1,2012,Thomas H. Kovach,20
DELAWARE 1,2012,"John C. Carney, Jr.",6
FLORIDA 1,2012,Jeff Miller,192
FLORIDA 1,2012,Jim Bryan,5
FLORIDA 2,2012,Steve Southerland II,159
FLORIDA 2,2012,Al Lawson,126
FLORIDA 3,2012,Ted Yoho,181
FLORIDA 3,2012,J. R. Gaillot,500
FLORIDA 4,2012,Ander Crenshaw,500
FLORIDA 5,2012,LeAnne Kolb,500
FLORIDA 5,2012,Corrine Brown,500
FLORIDA 6,2012,Ron Desantis,43
FLORIDA 6,2012,Heather Beaven,8
FLORIDA 7,2012,John L. Mica,6
FLORIDA 7,2012,Jason H. Kendall,3
FLORIDA 8,2012,Bill Posey,9
FLORIDA 8,2012,Shannon Roberts,21
FLORIDA 8,2012,Shannon Roberts,111
FLORIDA 9,2012,Todd Long,41
FLORIDA 9,2012,Alan Grayson,110
FLORIDA 10,2012,Daniel Webster,12
FLORIDA 10,2012,Val B. Demings,500
FLORIDA 11,2012,Richard B. Nugent,16
FLORIDA 11,2012,H. David Werder,500
FLORIDA 12,2012,Gus M. Bilirakis,500
FLORIDA 12,2012,Jonathan Michael Snow,32
FLORIDA 13,2012,C. W. Bill Young,500
FLORIDA 13,2012,Jessica Ehrlich,11
FLORIDA 14,2012,Evelio ‘‘E J’’ Otero,500
FLORIDA 14,2012,Kathy Castor,134
FLORIDA 15,2012,Dennis A. Ross,59
FLORIDA 16,2012,Vern Buchanan,500
FLORIDA 16,2012,Keith Fitzgerald,45
FLORIDA 17,2012,Thomas J. Rooney,20
FLORIDA 17,2012,William Bronson,9
FLORIDA 18,2012,Allen B. West,130
FLORIDA 18,2012,Patrick Murphy,37
FLORIDA 19,2012,Trey Radel,500
FLORIDA 19,2012,Jim Roach,5
FLORIDA 20,2012,Alcee L. Hastings,500
FLORIDA 21,2012,Theodore E. Deutch,181
FLORIDA 22,2012,Adam Hasner,36
FLORIDA 22,2012,Lois Frankel,500
FLORIDA 23,2012,Karen Harrington,25
FLORIDA 23,2012,Debbie Wasserman Schultz,61
FLORIDA 24,2012,Frederica S. Wilson,500
FLORIDA 25,2012,Mario Diaz-Balart,134
FLORIDA 26,2012,David Rivera,4
FLORIDA 26,2012,Joe Garcia,107
FLORIDA 27,2012,Ileana Ros-Lehtinen,500
FLORIDA 27,2012,Manny Yevancey,500
GEORGIA 1,2012,Jack Kingston,146
GEORGIA 1,2012,Lesli Rae Messinger,500
GEORGIA 2,2012,John House,6
GEORGIA 2,2012,"Sanford D. Bishop, Jr.",500
GEORGIA 3,2012,Lynn A. Westmoreland,164
GEORGIA 4,2012,J. Chris Vaughn,500
GEORGIA 4,2012,"Henry C. ‘‘Hank’’ Johnson, Jr.",120
GEORGIA 5,2012,Howard Stopeck,188
GEORGIA 5,2012,John Lewis,6
GEORGIA 6,2012,Tom Price,20
GEORGIA 6,2012,Jeff Kazanow,192
GEORGIA 7,2012,Rob Woodall,7
GEORGIA 7,2012,Steve Reilly,159
GEORGIA 8,2012,Austin Scott,500
GEORGIA 9,2012,Doug Collins,50
GEORGIA 9,2012,Jody Cooley,173
GEORGIA 10,2012,Paul C. Broun,27
GEORGIA 11,2012,Phil Gingrey,71
GEORGIA 11,2012,Patrick Thompson,37
GEORGIA 12,2012,Lee Anderson,131
GEORGIA 12,2012,John Barrow,6
GEORGIA 13,2012,S. Malik,500
GEORGIA 13,2012,David Scott,4
GEORGIA 14,2012,Tom Graves,20
GEORGIA 14,2012,Daniel ‘‘Danny’’ Grant,12
HAWAII 1,2012,Charles K. Djou,23
HAWAII 1,2012,Colleen W. Hanabusa,129
HAWAII 2,2012,Kawika Crowley,500
HAWAII 2,2012,Tulsi Gabbard,500
IDAHO 1,2012,Raúl R. Labrador,500
IDAHO 1,2012,Jimmy Farris,100
IDAHO 2,2012,Michael K. Simpson,1
IDAHO 2,2012,Nicole LeFavour,10
ILLINOIS 1,2012,Donald E. Peloquin,42
ILLINOIS 1,2012,Bobby L. Rush,93
ILLINOIS 2,2012,Brian Woodworth,8
ILLINOIS 2,2012,"Jesse L. Jackson, Jr.",66
ILLINOIS 3,2012,Richard L. Grabowski,16
ILLINOIS 3,2012,Daniel Lipinski,12
ILLINOIS 4,2012,Hector Concepcion,194
ILLINOIS 4,2012,Luis V. Gutierrez,117
ILLINOIS 5,2012,Dan Schmitt,12
ILLINOIS 5,2012,Mike Quigley,1
ILLINOIS 6,2012,Peter J. Roskam,55
ILLINOIS 6,2012,Leslie Coolidge,70
ILLINOIS 7,2012,Rita Zak,500
ILLINOIS 7,2012,Danny K. Davis,95
ILLINOIS 8,2012,Joe Walsh,107
ILLINOIS 8,2012,Tammy Duckworth,23
ILLINOIS 9,2012,Timothy C. Wolfe,21
ILLINOIS 9,2012,Janice D. Schakowsky,184
ILLINOIS 10,2012,Robert J. Dold,7
ILLINOIS 10,2012,Brad Schneider,123
ILLINOIS 11,2012,Judy Biggert,500
ILLINOIS 11,2012,Bill Foster,9
ILLINOIS 12,2012,Jason Plummer,3
ILLINOIS 12,2012,William L. Enyart,9
ILLINOIS 13,2012,Rodney Davis,74
ILLINOIS 13,2012,David M. Gill,4
ILLINOIS 14,2012,Randy Hultgren,77
ILLINOIS 14,2012,Dennis Anderson,59
ILLINOIS 15,2012,John Shimkus,6
ILLINOIS 15,2012,Angela Michael,7
ILLINOIS 16,2012,Adam Kinzinger,36
ILLINOIS 16,2012,Wanda Rohl,197
ILLINOIS 17,2012,Robert T. Schilling,7
ILLINOIS 17,2012,Cheri Bustos,500
ILLINOIS 18,2012,Aaron Schock,35
ILLINOIS 18,2012,Steve Waterworth,159
INDIANA 1,2012,Joel Phelps,75
INDIANA 1,2012,Peter J. Visclosky,55
INDIANA 2,2012,Jackie Walorski,500
INDIANA 2,2012,Brendan Mullen,500
INDIANA 3,2012,Marlin A. Stutzman,500
INDIANA 3,2012,Kevin R. Boyd,13
INDIANA 4,2012,Todd Rokita,41
INDIANA 4,2012,Tara E. Nelson,43
INDIANA 5,2012,Susan Brooks,27
INDIANA 5,2012,Scott Reske,17
INDIANA 6,2012,Luke Messer,500
INDIANA 6,2012,Bradley T. Bookout,57
INDIANA 7,2012,Carlos A. May,76
INDIANA 7,2012,André Carson,500
INDIANA 8,2012,Larry Bucshon,58
INDIANA 8,2012,Dave Crooks,4
INDIANA 9,2012,Todd C. Young,41
INDIANA 9,2012,Shelli Yoder,500
IOWA 1,2012,Ben Lange,44
IOWA 1,2012,Bruce L. Braley,132
IOWA 2,2012,John Archer,6
IOWA 2,2012,David Loebsack,4
IOWA 3,2012,Tom Latham,20
IOWA 3,2012,Leonard L. Boswell,166
IOWA 4,2012,Steve King,159
IOWA 4,2012,Christie Vilsack,157
KANSAS 1,2012,Tim Huelskamp,21
KANSAS 2,2012,Lynn Jenkins,164
KANSAS 2,2012,Tobias Schlingensiepen,500
KANSAS 3,2012,Kevin Yoder,13
KANSAS 4,2012,Mike Pompeo,1
KANSAS 4,2012,Robert Leon Tillman,7
