district,year,full_name,ranks
CALIFORNIA 41,2010,Pat Meagher,37
CALIFORNIA 42,2010,Gary G. Miller,47
CALIFORNIA 42,2010,Michael Williamson,1
CALIFORNIA 43,2010,Scott Folkens,17
CALIFORNIA 43,2010,Joe Baca,107
CALIFORNIA 44,2010,Ken Calvert,31
CALIFORNIA 44,2010,Bill Hedrick,9
CALIFORNIA 45,2010,Mary Bono Mack,15
CALIFORNIA 45,2010,Steve Pougnet,159
CALIFORNIA 46,2010,Dana Rohrabacher,57
CALIFORNIA 46,2010,Ken Arnold,31
CALIFORNIA 47,2010,Van Tran,500
CALIFORNIA 47,2010,Loretta Sanchez,500
CALIFORNIA 48,2010,John Campbell,6
CALIFORNIA 48,2010,Beth Krom,110
